beneficiary_id,query_country_code,query_country,query_type,query_state,query_region,query_county,query_city,query_postal_code,query_address,result_country,result_region,result_county,result_city,result_postal_code,result_street,result_number,result_full_address,result_lat,result_long,geocoded,lau
sc auto-mobil service srl,RO,Romania,project,,,,,,,Romania,Județul Timiș,Municipiul Timișoara,Timișoara,,Strada Locotenent Ovidiu Balea,147,"Strada Locotenent Ovidiu Balea 147, Timișoara, Romania",45.7623056,21.1749272,True,155243
sc ervi art srl,RO,Romania,project,,,,,,,Romania,Județul Timiș,Municipiul Timișoara,Timișoara,,Strada Johann Heinrich Pestalozzi,20,"Strada Johann Heinrich Pestalozzi 20, Timișoara, Romania",45.7544441,21.2463754,True,155243
sc data incorporated srl,RO,Romania,project,,,,,,,Romania,Județul Timiș,Municipiul Timișoara,Timișoara,300011,Strada Coriolan Brediceanu,10A,"Strada Coriolan Brediceanu 10A, Timișoara 300011, Romania",45.7568309,21.221908,True,155243
sc dosetimpex srl,RO,Romania,project,,,,,,,Romania,Județul Timiș,Municipiul Timișoara,Timișoara,300714,Calea Buziașului,nr.11,"Calea Buziașului nr.11, Timișoara 300714, Romania",45.73368960000001,21.2626883,True,155243
sc grafoprint s.r.l.,RO,Romania,project,,,,,,,Romania,Județul Timiș,Municipiul Timișoara,Timișoara,300425,Splaiul Tudor Vladimirescu,34,"Splaiul Tudor Vladimirescu 34, Timișoara 300425, Romania",45.7453024,21.2046333,True,155243
sc grafoprint srl,RO,Romania,project,,,,,,,Romania,Județul Timiș,Municipiul Timișoara,Timișoara,300425,Splaiul Tudor Vladimirescu,34,"Splaiul Tudor Vladimirescu 34, Timișoara 300425, Romania",45.7453024,21.2046333,True,155243
sc printtech srl,RO,Romania,project,,,,,,,Romania,Județul Timiș,Municipiul Timișoara,Timișoara,,,,"Str. Caras, 4, Timisoara, Timis, 300551, Timișoara, Romania",45.7482,21.2413,True,155243
sc tectonics art srl,RO,Romania,project,,,,,,,Romania,Județul Timiș,Municipiul Timișoara,Timișoara,,Bulevardul Eroilor de la Tisa,10,"Bulevardul Eroilor de la Tisa 10, Timișoara, Romania",45.74570300000001,21.2373721,True,155243
sc superconstruct srl,RO,Romania,project,,,,,,,Romania,Județul Timiș,Municipiul Timișoara,Timișoara,,,,"Str. Mercy Florimund, 1, Timisoara, Timis, 300085, Timișoara, Romania",45.7563,21.2288,True,155243
sc continental automotive romania srl,RO,Romania,project,,,,,,,Romania,Județul Timiș,Municipiul Timișoara,Timișoara,300704,Strada Siemens,1,"Strada Siemens 1, Timișoara 300704, Romania",45.734542,21.2669861,True,155243
sc aquatim sa,RO,Romania,project,,,,,,,Romania,Județul Timiș,Municipiul Timișoara,Timișoara,300081,Strada Gheorghe Lazăr,11/A,"Strada Gheorghe Lazăr 11/A, Timișoara 300081, Romania",45.7578391,21.2224915,True,155243
pro dance show s.r.l.,RO,Romania,project,,,,,,,Romania,Județul Timiș,Municipiul Timișoara,Timișoara,,,,"Cal. Sagului, 74, Timisoara, Timis, 300515, Timișoara, Romania",45.72750000000001,21.2041,True,155243
sc g.s.a. engineering srl,RO,Romania,project,,,,,,,Romania,Județul Timiș,Municipiul Timișoara,Timișoara,300425,,,"Iosefin - Dâmbovița, Timișoara 300425, Romania",45.744417,21.2023206,True,155243
sc gecomod srl,RO,Romania,project,,,,,,,Romania,Județul Timiș,Municipiul Timișoara,Timișoara,,,,"Cal. Buziasului, 6, Timisoara, Timis, 300693, Timișoara, Romania",45.73248,21.26015,True,155243
sc logitrade srl,RO,Romania,project,,,,,,,Romania,Județul Timiș,Municipiul Timișoara,Timișoara,307285,Calea Buziașului,11,"Calea Buziașului 11, Timișoara 307285, Romania",45.731219,21.2649,True,155243
