"Date","Price","Open","High","Low","Change %"
"Dec 03, 2012","4.5253","4.5074","4.5320","4.5036","0.32%"
"Nov 30, 2012","4.5107","4.5124","4.5225","4.5040","-0.01%"
"Nov 29, 2012","4.5111","4.5018","4.5184","4.4923","-0.00%"
"Nov 28, 2012","4.5113","4.5027","4.5236","4.4979","0.08%"
"Nov 27, 2012","4.5079","4.5147","4.5307","4.4967","-0.16%"
"Nov 26, 2012","4.5151","4.5297","4.5390","4.5086","-0.40%"
"Nov 23, 2012","4.5332","4.5322","4.5441","4.5247","-0.09%"
"Nov 22, 2012","4.5375","4.5272","4.5402","4.5196","0.09%"
"Nov 21, 2012","4.5335","4.5321","4.5400","4.5166","-0.06%"
"Nov 20, 2012","4.5364","4.5332","4.5414","4.5220","0.01%"
"Nov 19, 2012","4.5360","4.5305","4.5431","4.5239","0.01%"
"Nov 16, 2012","4.5354","4.5341","4.5458","4.5241","-0.03%"
"Nov 15, 2012","4.5369","4.5400","4.5531","4.5296","-0.19%"
"Nov 14, 2012","4.5455","4.5363","4.5520","4.5266","0.13%"
"Nov 13, 2012","4.5395","4.5255","4.5448","4.5207","0.22%"
"Nov 12, 2012","4.5294","4.5201","4.5378","4.5157","0.11%"
"Nov 09, 2012","4.5244","4.5168","4.5351","4.5113","0.04%"
"Nov 08, 2012","4.5225","4.5133","4.5283","4.5088","0.11%"
"Nov 07, 2012","4.5175","4.5104","4.5217","4.4997","0.07%"
"Nov 06, 2012","4.5144","4.5214","4.5290","4.5069","-0.24%"
"Nov 05, 2012","4.5252","4.5234","4.5351","4.5149","-0.07%"
"Nov 02, 2012","4.5282","4.5305","4.5383","4.5148","-0.10%"
"Nov 01, 2012","4.5326","4.5407","4.5551","4.5246","-0.31%"
"Oct 31, 2012","4.5469","4.5337","4.5499","4.5293","0.19%"
"Oct 30, 2012","4.5383","4.5465","4.5563","4.5246","-0.30%"
"Oct 29, 2012","4.5518","4.5549","4.5644","4.5386","-0.12%"
"Oct 26, 2012","4.5572","4.5585","4.5675","4.5471","-0.13%"
"Oct 25, 2012","4.5630","4.5690","4.5793","4.5553","-0.21%"
"Oct 24, 2012","4.5724","4.5726","4.5797","4.5645","-0.08%"
"Oct 23, 2012","4.5762","4.5725","4.5847","4.5685","0.00%"
"Oct 22, 2012","4.5760","4.5792","4.5838","4.5676","-0.06%"
"Oct 19, 2012","4.5789","4.5765","4.5890","4.5688","0.03%"
"Oct 18, 2012","4.5773","4.5768","4.5860","4.5652","0.09%"
"Oct 17, 2012","4.5731","4.5734","4.5885","4.5617","-0.08%"
"Oct 16, 2012","4.5766","4.5738","4.5843","4.5640","-0.02%"
