Date,Price,Open,High,Low,Change %
"Sep 04, 2012",1.2632,1.2618,1.2655,1.2584,0.12%
"Sep 03, 2012",1.2617,1.2618,1.2648,1.2602,0.03%
"Aug 31, 2012",1.2613,1.2617,1.2634,1.2562,-0.06%
"Aug 30, 2012",1.262,1.2629,1.2657,1.2595,-0.10%
"Aug 29, 2012",1.2633,1.2587,1.2651,1.2577,0.33%
"Aug 28, 2012",1.2591,1.2629,1.2649,1.2564,-0.34%
"Aug 27, 2012",1.2634,1.2639,1.2659,1.2607,0.00%
"Aug 24, 2012",1.2634,1.2622,1.268,1.2601,0.07%
"Aug 23, 2012",1.2625,1.2671,1.2686,1.2615,-0.41%
"Aug 22, 2012",1.2677,1.2653,1.27,1.2639,0.18%
"Aug 21, 2012",1.2654,1.2723,1.2731,1.264,-0.56%
"Aug 20, 2012",1.2725,1.2716,1.2767,1.2698,0.00%
"Aug 17, 2012",1.2725,1.2731,1.2765,1.2689,-0.10%
"Aug 16, 2012",1.2738,1.276,1.2803,1.2718,-0.19%
"Aug 15, 2012",1.2762,1.272,1.2785,1.2686,0.29%
"Aug 14, 2012",1.2725,1.2715,1.2734,1.2678,0.06%
"Aug 13, 2012",1.2717,1.2754,1.2776,1.2695,-0.37%
"Aug 10, 2012",1.2764,1.2707,1.2775,1.2688,0.44%
"Aug 09, 2012",1.2708,1.2659,1.2731,1.265,0.35%
"Aug 08, 2012",1.2664,1.2599,1.2693,1.2578,0.52%
"Aug 07, 2012",1.2599,1.258,1.2622,1.2559,0.15%
"Aug 06, 2012",1.258,1.2606,1.2633,1.2552,-0.38%
"Aug 03, 2012",1.2628,1.2731,1.2752,1.2615,-0.83%
"Aug 02, 2012",1.2734,1.2705,1.2785,1.2617,0.22%
"Aug 01, 2012",1.2706,1.2744,1.2754,1.2661,-0.28%
"Jul 31, 2012",1.2742,1.2812,1.2822,1.2709,-0.55%
"Jul 30, 2012",1.2813,1.2791,1.2841,1.2769,0.26%
"Jul 27, 2012",1.278,1.2769,1.2824,1.2696,0.05%
"Jul 26, 2012",1.2774,1.2748,1.2797,1.2714,0.19%
"Jul 25, 2012",1.275,1.2851,1.2863,1.2727,-0.79%
"Jul 24, 2012",1.2852,1.2796,1.2878,1.2781,0.44%
"Jul 23, 2012",1.2796,1.2876,1.2884,1.2774,-0.42%
"Jul 20, 2012",1.285,1.2801,1.2873,1.2781,0.37%
"Jul 19, 2012",1.2803,1.2745,1.2835,1.2724,0.46%
"Jul 18, 2012",1.2744,1.2732,1.2778,1.2703,0.09%
"Jul 17, 2012",1.2732,1.2738,1.2772,1.2693,-0.05%
"Jul 16, 2012",1.2739,1.2708,1.2771,1.2702,0.20%
"Jul 13, 2012",1.2713,1.2646,1.2732,1.2632,0.57%
"Jul 12, 2012",1.2641,1.2665,1.2691,1.2631,-0.21%
"Jul 11, 2012",1.2667,1.2663,1.271,1.2646,0.01%
"Jul 10, 2012",1.2666,1.2603,1.2672,1.2597,0.48%
"Jul 09, 2012",1.2606,1.261,1.2637,1.2574,0.01%
"Jul 06, 2012",1.2605,1.2524,1.262,1.252,0.62%
"Jul 05, 2012",1.2527,1.2447,1.2555,1.2428,0.61%
"Jul 04, 2012",1.2451,1.2442,1.2462,1.2413,0.06%
"Jul 03, 2012",1.2444,1.2468,1.2487,1.2427,-0.22%
"Jul 02, 2012",1.2471,1.2383,1.2491,1.2375,0.51%
"Jun 29, 2012",1.2408,1.2467,1.2488,1.2348,-0.52%
"Jun 28, 2012",1.2473,1.2478,1.2525,1.2449,-0.10%
"Jun 27, 2012",1.2485,1.2513,1.2525,1.247,-0.29%
"Jun 26, 2012",1.2521,1.2453,1.253,1.2433,0.54%
"Jun 25, 2012",1.2454,1.2412,1.247,1.2408,0.41%
"Jun 22, 2012",1.2403,1.2426,1.2466,1.239,-0.22%
"Jun 21, 2012",1.243,1.2362,1.2439,1.2354,0.52%
"Jun 20, 2012",1.2366,1.2397,1.2415,1.2351,-0.22%
"Jun 19, 2012",1.2393,1.2455,1.2462,1.2372,-0.52%
"Jun 18, 2012",1.2458,1.2359,1.2467,1.2324,0.17%
"Jun 15, 2012",1.2437,1.2313,1.2442,1.226,0.99%
"Jun 14, 2012",1.2315,1.234,1.2372,1.2307,-0.25%
"Jun 13, 2012",1.2346,1.2448,1.2467,1.233,-0.84%
"Jun 12, 2012",1.245,1.2412,1.2485,1.2371,0.31%
"Jun 11, 2012",1.2411,1.2272,1.2419,1.2255,0.40%
"Jun 08, 2012",1.2362,1.236,1.2393,1.2343,0.01%
"Jun 07, 2012",1.2361,1.2312,1.2401,1.2286,0.31%
"Jun 06, 2012",1.2323,1.2346,1.2424,1.2305,-0.23%
"Jun 05, 2012",1.2351,1.2308,1.2365,1.2277,0.35%
"Jun 04, 2012",1.2308,1.2361,1.2398,1.2296,-0.38%
"Jun 01, 2012",1.2355,1.2463,1.2477,1.2347,-0.87%
"May 31, 2012",1.2464,1.2513,1.2519,1.2438,-0.41%
"May 30, 2012",1.2515,1.2517,1.255,1.2494,0.01%
"May 29, 2012",1.2514,1.2503,1.2531,1.2486,0.08%
"May 28, 2012",1.2504,1.2469,1.2529,1.2437,-0.06%
"May 25, 2012",1.2511,1.2497,1.2536,1.2424,0.07%
"May 24, 2012",1.2502,1.2462,1.2508,1.2452,0.28%
"May 23, 2012",1.2467,1.2429,1.2507,1.2399,0.30%
"May 22, 2012",1.243,1.2349,1.2439,1.2339,0.64%
"May 21, 2012",1.2351,1.2369,1.2405,1.2341,-0.19%
"May 18, 2012",1.2374,1.2437,1.2465,1.2368,-0.55%
"May 17, 2012",1.2442,1.2508,1.2515,1.2424,-0.58%
"May 16, 2012",1.2515,1.2562,1.2582,1.2482,-0.39%
"May 15, 2012",1.2564,1.2547,1.2577,1.2472,0.14%
"May 14, 2012",1.2546,1.2463,1.2559,1.245,0.83%
"May 11, 2012",1.2443,1.2468,1.2507,1.2419,-0.30%
"May 10, 2012",1.248,1.2469,1.25,1.2425,0.04%
"May 09, 2012",1.2475,1.2422,1.2478,1.2402,0.40%
"May 08, 2012",1.2425,1.2399,1.2433,1.2383,0.17%
"May 07, 2012",1.2404,1.2392,1.2446,1.2372,0.45%
"May 04, 2012",1.2348,1.23,1.2354,1.2282,0.36%
"May 03, 2012",1.2304,1.2312,1.2344,1.2276,-0.07%
"May 02, 2012",1.2313,1.2249,1.2329,1.2246,0.50%
"May 01, 2012",1.2252,1.2258,1.2273,1.2195,-0.06%
"Apr 30, 2012",1.2259,1.2287,1.2313,1.225,-0.11%
"Apr 27, 2012",1.2273,1.2266,1.2298,1.2234,0.22%
"Apr 26, 2012",1.2246,1.2225,1.2264,1.2212,0.14%
"Apr 25, 2012",1.2229,1.2231,1.2252,1.2158,-0.03%
"Apr 24, 2012",1.2233,1.2255,1.2279,1.2208,-0.24%
"Apr 23, 2012",1.2262,1.2225,1.2275,1.2205,0.55%
"Apr 20, 2012",1.2195,1.2219,1.2254,1.2184,-0.21%
"Apr 19, 2012",1.2221,1.2207,1.2254,1.2197,0.09%
"Apr 18, 2012",1.221,1.2127,1.2235,1.2124,0.66%
"Apr 17, 2012",1.213,1.2099,1.2153,1.2096,0.24%
"Apr 16, 2012",1.2101,1.2131,1.2184,1.2089,-0.15%
"Apr 13, 2012",1.2119,1.21,1.2155,1.2089,0.14%
"Apr 12, 2012",1.2102,1.213,1.2157,1.2088,-0.26%
"Apr 11, 2012",1.2134,1.2126,1.2147,1.2094,0.08%
"Apr 10, 2012",1.2124,1.2124,1.2146,1.2076,-0.05%
"Apr 09, 2012",1.213,1.2124,1.2156,1.2107,0.00%
"Apr 06, 2012",1.213,1.2115,1.2146,1.2102,0.14%
"Apr 05, 2012",1.2113,1.209,1.214,1.2073,0.21%
"Apr 04, 2012",1.2088,1.2022,1.2106,1.2006,0.52%
"Apr 03, 2012",1.2025,1.2025,1.2037,1.196,-0.02%
"Apr 02, 2012",1.2028,1.1987,1.2059,1.1971,0.23%
"Mar 30, 2012",1.2,1.1993,1.2014,1.1956,0.03%
"Mar 29, 2012",1.1996,1.1929,1.2002,1.1919,0.55%
"Mar 28, 2012",1.193,1.1972,1.198,1.1906,-0.39%
"Mar 27, 2012",1.1977,1.1951,1.1999,1.194,0.18%
"Mar 26, 2012",1.1955,1.196,1.1999,1.1943,0.00%
"Mar 23, 2012",1.1955,1.1983,1.1998,1.1948,-0.26%
"Mar 22, 2012",1.1986,1.2005,1.2052,1.1975,-0.22%
"Mar 21, 2012",1.2012,1.199,1.2018,1.1941,0.14%
"Mar 20, 2012",1.1995,1.2,1.2028,1.1965,-0.07%
