NUTS_3_2013_CODE;NUTS_3_2010_CODE;LAU1_NAT_CODE;LAU2_NAT_CODE;CHANGE;NAME_1;NAME_2_LAT;POP;AREA;DEGURBA
FR412;FR412;5513;55195;no;Fouchères-aux-Bois;Fouchères-aux-Bois;143;5570000;3
FR412;FR412;5513;55246;no;Hévilliers;Hévilliers;134;10600000;3
FR412;FR412;5513;55315;no;Mandres-en-Barrois;Mandres-en-Barrois;128;17710000;3
FR412;FR412;5513;55335;no;Ménil-sur-Saulx;Ménil-sur-Saulx;271;12030000;3
FR412;FR412;5513;55348;no;Montiers-sur-Saulx;Montiers-sur-Saulx;450;44550000;3
FR412;FR412;5513;55359;no;Morley;Morley;202;24750000;3
FR412;FR412;5513;55430;no;Ribeaucourt;Ribeaucourt;108;12540000;3
FR412;FR412;5513;55562;no;Villers-le-Sec;Villers-le-Sec;135;6990000;3
FR412;FR412;5514;55022;no;Avioth;Avioth;131;6500000;3
FR412;FR412;5514;55034;no;Bazeilles-sur-Othain;Bazeilles-sur-Othain;108;7660000;3
FR412;FR412;5514;55077;no;Breux;Breux;267;12990000;3
FR412;FR412;5514;55109;no;Chauvency-le-Château;Chauvency-le-Château;270;8820000;3
FR412;FR412;5514;55110;no;Chauvency-Saint-Hubert;Chauvency-Saint-Hubert;257;10760000;3
FR412;FR412;5514;55169;no;Écouviez;Écouviez;522;4300000;3
FR412;FR412;5514;55188;no;Flassigny;Flassigny;46;6660000;3
FR412;FR412;5514;55226;no;Han-lès-Juvigny;Han-lès-Juvigny;105;5440000;3
FR412;FR412;5514;55252;no;Iré-le-Sec;Iré-le-Sec;160;8310000;3
FR412;FR412;5514;55255;no;Jametz;Jametz;263;17440000;3
FR412;FR412;5514;55262;no;Juvigny-sur-Loison;Juvigny-sur-Loison;265;16420000;3
FR412;FR412;5514;55306;no;Louppy-sur-Loison;Louppy-sur-Loison;122;14360000;3
FR412;FR412;5514;55324;no;Marville;Marville;561;19550000;3
FR412;FR412;5514;55351;no;Montmédy;Montmédy;2 359;23490000;3
FR412;FR412;5514;55410;no;Quincy-Landzécourt;Quincy-Landzécourt;146;12480000;3
FR412;FR412;5514;55425;no;Remoiville;Remoiville;152;9700000;3
FR412;FR412;5514;55508;no;Thonne-la-Long;Thonne-la-Long;266;9500000;3
FR412;FR412;5514;55509;no;Thonne-le-Thil;Thonne-le-Thil;282;11380000;3
FR412;FR412;5514;55510;no;Thonne-les-Près;Thonne-les-Près;141;5420000;3
FR412;FR412;5514;55511;no;Thonnelle;Thonnelle;152;6090000;3
FR412;FR412;5514;55544;no;Velosnes;Velosnes;159;4370000;3
FR412;FR412;5514;55546;no;Verneuil-Grand;Verneuil-Grand;219;6210000;3
FR412;FR412;5514;55547;no;Verneuil-Petit;Verneuil-Petit;136;3990000;3
FR412;FR412;5514;55552;no;Vigneul-sous-Montmédy;Vigneul-sous-Montmédy;99;4630000;3
FR412;FR412;5514;55554;no;Villécloye;Villécloye;243;7180000;3
FR412;FR412;5515;55027;no;Bannoncourt;Bannoncourt;173;8720000;3
FR412;FR412;5515;55032;no;Baudrémont;Baudrémont;54;6810000;3
FR412;FR412;5515;55044;no;Belrain;Belrain;45;8310000;3
FR412;FR412;5515;55064;no;Bouquemont;Bouquemont;115;7490000;3
FR412;FR412;5515;55127;no;Courcelles-en-Barrois;Courcelles-en-Barrois;32;7270000;3
FR412;FR412;5515;55129;no;Courouvre;Courouvre;36;8660000;3
FR412;FR412;5515;55159;no;Dompcevrin;Dompcevrin;329;10930000;3
FR412;FR412;5515;55197;no;Fresnes-au-Mont;Fresnes-au-Mont;149;15890000;3
FR412;FR412;5515;55210;no;Gimécourt;Gimécourt;37;10120000;3
FR412;FR412;5515;55263;no;Koeur-la-Grande;Koeur-la-Grande;171;12320000;3
FR412;FR412;5515;55264;no;Koeur-la-Petite;Koeur-la-Petite;299;20330000;3
FR412;FR412;5515;55269;no;Lahaymeix;Lahaymeix;90;12700000;3
FR412;FR412;5515;55282;no;Lavallée;Lavallée;96;12580000;3
FR412;FR412;5515;55289;no;Levoncourt;Levoncourt;53;7800000;3
FR412;FR412;5515;55290;no;Lignières-sur-Aire;Lignières-sur-Aire;47;9300000;3
FR412;FR412;5515;55301;no;Longchamps-sur-Aire;Longchamps-sur-Aire;139;15680000;3
