beneficiary_id,query_country_code,query_country,query_type,query_state,query_region,query_county,query_city,query_postal_code,query_address,result_country,result_region,result_county,result_city,result_postal_code,result_street,result_number,result_full_address,result_lat,result_long,geocoded,lau
tepron spol. s r.o.,SK,Slovakia,project,,,,,,,Slovakia,Žilinský kraj,Liptovský Mikuláš,Liptovský Mikuláš,031 01,,,"Palugyayho 777, 03101 Liptovský Mikuláš, 031 01 Liptovský Mikuláš, Slovakia",49.082111,19.58785,True,510262
"tera hotel, s.r.o.",SK,Slovakia,project,,,,,,,Slovakia,Bratislavský kraj,Bratislava I,,811 06,Hodžovo námestie,2,"Hodžovo námestie 568/2, 811 06 Bratislava, Slovakia",48.14763989999999,17.1080358,True,528595
"termal ds, s.r.o.",SK,Slovakia,project,,,,,,,Slovakia,Trnavský kraj,Dunajská Streda,,929 01,Gabčíkovská cesta,,"237/38, Gabčíkovská cesta, 929 01 Dunajská Streda, Slovakia",47.985036,17.6084644,True,501433
"termel sk, spol. s r.o.",SK,Slovakia,project,,,,,,,Slovakia,Žilinský kraj,Kysucké Nové Mesto,,024 01,Cesta do Rudiny,,"Cesta do Rudiny 2331, 02401 Kysucké Nové Mesto, Cesta do Rudiny, 024 01 Kysucké Nové Mesto, Slovakia",49.2957837,18.77754239999999,True,509256
"termonova, a.s.",SK,Slovakia,project,,,,,,,Slovakia,Trenčiansky kraj,Ilava,,018 51,SNP,98,"SNP 98, 018 51 Nová Dubnica, Slovakia",48.94052110000001,18.1359007,True,513440
tesco copiers,SK,Slovakia,project,,,,,,,Slovakia,Trenčiansky kraj,Prievidza,Opatovce nad Nitrou,972 02,,,"Opatovce nad Nitrou 367, 972 02 Opatovce nad Nitrou, Slovakia",48.76224690000001,18.5705961,True,514284
"tesgal, s.r.o.",SK,Slovakia,project,,,,,,,Slovakia,Nitriansky kraj,Nitra,Vráble,952 01,Staničná,,"Staničná 502, 952 01 Vráble-Pri stanici, Slovakia",48.2504499,18.3008335,True,500933
tex - print vyrobne druzstvo,SK,Slovakia,project,,,,,,,Slovakia,Bratislavský kraj,Malacky,Gajary,900 61,,,"Továrenská 32/5, 90061 Gajary, 900 61 Gajary, Slovakia",48.463702,16.928749,True,507890
thermaltech s.r.o.,SK,Slovakia,project,,,,,,,Slovakia,Košický kraj,Košice IV,,040 01,Žižkova,30,"Žižkova 2100/30, 040 01 Košice, Slovakia",48.71053990000001,21.2473021,True,599824
"thermospor, spol. s r.o.",SK,Slovakia,project,,,,,,,Slovakia,Žilinský kraj,Liptovský Mikuláš,,031 01,,,"Priemyselná 740, 03101 Liptovský Mikuláš, 031 01 Liptovský Mikuláš, Slovakia",49.07552500000001,19.632268,True,510262
ths - dobrovolny zbor,SK,Slovakia,project,,,,,,,Slovakia,Bratislavský kraj,Bratislava III,,831 03,Kutuzovova,17,"Kutuzovova 3290/17, 831 03 Bratislava, Slovakia",48.1653345,17.1296249,True,529346
"thymos, spol. s r.o.",SK,Slovakia,project,,,,,,,Slovakia,Prešovský kraj,Kežmarok,,059 52,Popradská,2,"Popradská 2, 059 52 Veľká Lomnica, Slovakia",49.1095978,20.3565319,True,524000
tibor holcik autoklinika,SK,Slovakia,project,,,,,,,Slovakia,Trenčiansky kraj,Púchov,,020 52,,,"Záriečie 117, 020 52 Záriečie, Slovakia",49.1814031,18.2505484,True,513814
tibor vajner - sklenarstvo,SK,Slovakia,project,,,,,,,Slovakia,Bratislavský kraj,Bratislava II,,821 09,Košická,37,"Košická 4226/37, 821 09 Bratislava, Slovakia",48.14679539999999,17.1325819,True,529320
tichelmann sk s. r. o.,SK,Slovakia,project,,,,,,,Slovakia,Bratislavský kraj,Bratislava III,,831 04,Bojnická,10,"Bojnická 1492/10, 831 04 Bratislava, Slovakia",48.1797423,17.1661163,True,529346
tichy a kubik s. r. o.,SK,Slovakia,project,,,,,,,Slovakia,Trenčiansky kraj,Púchov,Lazy pod Makytou,020 55,,,"Lazy pod Makytou 646, 020 55 Lazy pod Makytou, Slovakia",49.27860870000001,18.2209917,True,513300
"titan - tatraplast, s.r.o.",SK,Slovakia,project,,,,,,,Slovakia,Žilinský kraj,Ružomberok,,034 01,Bystrická cesta,,"Bystrická cesta 2761, 034 01 Ružomberok, Slovakia",49.0647387,19.3122618,True,510998
tlaciaren svidnicka s. r. o.,SK,Slovakia,project,,,,,,,Slovakia,Prešovský kraj,Svidník,Svidník,089 01,Čatára Nebiljaka,121,"Čatára Nebiljaka 121, 089 01 Svidník, Slovakia",49.3170574,21.5735325,True,527106
tlacova agentura slovenskej republiky,SK,Slovakia,project,,,,,,,Slovakia,Nitriansky kraj,Nitra,,949 01,Hanulova,43,"Hanulova 940/43, 949 01 Nitra, Slovakia",48.3007463,18.0772253,True,500011
"tlmacska energeticka, s. r. o.",SK,Slovakia,project,,,,,,,Slovakia,Nitriansky kraj,Levice,,935 21,,,"Tlmače, 93521, 935 21 Tlmače, Slovakia",48.28907,18.5313721,True,502863
tolerancia n.o.,SK,Slovakia,project,,,,,,,Slovakia,Trnavský kraj,Galanta,Trstice,925 42,,,"Trstice 317, 925 42 Trstice, Slovakia",48.0143535,17.8086133,True,504106
tom term s.r.o.,SK,Slovakia,project,,,,,,,Slovakia,Košický kraj,Košice - okolie,,044 25,Revolučná,23,"Revolučná 362/23, 044 25 Medzev, Slovakia",48.699139,20.899954,True,521671
"tomark, s.r.o.",SK,Slovakia,project,,,,,,,Slovakia,Prešovský kraj,Prešov,Prešov,080 06,Strojnícka,5,"Strojnícka 11949/5, 080 06 Prešov-Nižná Šebastová, Slovakia",49.0194787,21.2639622,True,518590
