Bénéficiaires,Date de la demande,Montant total des chèques technologiques,Feder décidées,Part wallonne décidées,Montants cofinancés décidées,Feder payées,Part wallonne payées,Montants cofinancés payées,Date de clôture,project
POLMANS,19/11/2009,19500,5850,8775,14625,5850,8775,14625,15/06/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
TDS,10/11/2009,1500,450,675,1125,450,675,1125,08/03/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
O.COM,17/11/2009,9500,2850,4275,7125,2850,4275,7125,26/04/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
WALLOREST,16/11/2009,19500,5850,8775,14625,5850,8775,14625,27/01/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
EMUREF,1/12/2009,12000,3600,5400,9000,3600,5400,9000,03/05/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
CARDIATIS,19/11/2009,3000,900,1350,2250,900,1350,2250,15/06/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
COVERSYS,26/11/2009,1500,450,675,1125,450,675,1125,08/03/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
STX-Med,23/11/2009,19500,5850,8775,14625,3150,4725,7875,03/05/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
Fabribois,24/11/2009,1500,450,675,1125,300,450,750,16/08/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
Les Ateliers de la Meuse,22/01/2010,11000,3300,4950,8250,3300,4950,8250,15/06/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
Broyeurs Soudron-Sacre,17/12/2009,1000,300,450,750,300,450,750,25/01/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
NEW SOKAO,30/11/2009,5500,1650,2475,4125,1650,2475,4125,18/01/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
CARDIATIS,2/12/2009,10000,3000,4500,7500,2400,3600,6000,15/06/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
BALIST ENGINEERING,29/11/2009,7500,2250,3375,5625,2250,3375,5625,19/09/2014,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
LA LIEGEOISE,15/12/2009,17500,5250,7875,13125,5250,7875,13125,18/01/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
Coopérative de l'Yerne,10/12/2009,18000,5400,8100,13500,5400,8100,13500,23/12/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
V2l,4/12/2009,2000,600,900,1500,600,900,1500,05/02/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
ICOMS DETECTIONS,3/12/2009,2500,750,1125,1875,750,1125,1875,07/04/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
B.K.S.,4/12/2009,3500,1050,1575,2625,1050,1575,2625,08/02/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
MEDSYS,4/12/2009,15000,4500,6750,11250,4500,6750,11250,12/01/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
FACYBEL,07/01/2010,7500,2250,3375,5625,2250,3375,5625,01/07/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
PORC QUALITE ARDENNE S.C.,26/01/2010,9500,2850,4275,7125,2850,4275,7125,10/12/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
EMUREF,17/12/2009,8000,2400,3600,6000,2400,3600,6000,22/11/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
JOVA,14/12/2009,4500,1350,2025,3375,1350,2025,3375,10/12/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
EURO HEAT PIPES,22/12/2009,20000,6000,9000,15000,6000,9000,15000,03/08/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
BATTERIES TOUSSAINT NYSSENNE,18/12/2009,8000,2400,3600,6000,2400,3600,6000,17/12/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
ALTERNATIVE BUSINESS CENTE,14/12/2009,3000,900,1350,2250,900,1350,2250,31/12/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
KITOZYME,14/12/2009,1500,450,675,1125,450,675,1125,25/03/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
EUBAGE LABORATORY,13/01/2010,6000,1800,2700,4500,1800,2700,4500,27/08/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
NEW BARON & LEVEQUE EAST,24/12/2009,2000,600,900,1500,600,900,1500,08/03/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
BIOSOURCE EUROPE,05/01/2010,4000,1200,1800,3000,1200,1800,3000,03/05/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
RADERMACHER DISTILLERIE,22/12/2009,15000,4500,6750,11250,4500,6750,11250,07/09/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
