"query_country_code","lau2_code","sum"
HU,HU0669,65845637
IT,ITF47_072021,65819625
IT,ITF35_065007,65807447
FR,FR246_45234,65747067
LV,LV005_0780200,65712574
CZ,CZ031_550787,65671591
LV,LV005_0440200,65532485
ES,ES114_36017,65472304
PT,PT161_010104,65406476
FI,FI1D4_205,65372587
UK,UKL18_W05000517,65310546
PT,PT300_310308,65253432
DE,DED43_14522360,65204165
PL,PL117_110190201,65168614
PL,PL217_212241610,65099306
HU,HU1763,64989083
ES,ES411_05019,64916321
PL,PL325_318351605,64889003
BE,BE100_21015,64858425
PL,PL332_326530101,64808508
PL,PL22B_224501602,64629706
IT,ITF61_078010,64562950
PL,PL416_430571701,64428498
UK,UKF14_E05001828,64380738
UK,UKE44_E05001380,64364960
PL,PL116_110181402,64274294
ES,ES111_15073,64156223
PL,PL418_430612117,64005182
ES,ES511_08266,63716395
PL,PL22C_224511005,63546070
LT,LT00A_1320,63520635
PT,PT171_110633,63503057
IT,ITH32_024116,63409627
HU,HU1463,63333581
FR,FR831_2A004,63252284
PL,PL22C_224510802,63247453
LV,LV003_0840200,63245541
PL,PL517_502031901,63205749
PL,PL228_224451303,63203047
HU,HU2833,63102673
PL,PL227_224491504,62957904
SK,SK022_513440,62955961
DE,DE80B_13055050,62920213
PL,PL323_318331701,62896775
PT,PT161_010512,62721792
FR,FR940_97420,62680212
PL,PL518_502042304,62629975
IT,ITF65_080038,62481381
PT,PT161_010505,62065021
IT,ITF35_065052,61746581
SK,SK031_510262,61718788
PT,PT163_101509,61697695
GR,EL433_73010101,61668673
LV,LV003_0620200,61608308
ES,ES617_29007,61597584
BG,BG313_12259,61398870
HU,HU1048,61380356
PL,PL622_628561104,61257986
CZ,CZ020_533955,61219424
PL,PL115_110171201,61209117
FR,FR223_80021,61015714
PL,PL324_318340401,60973397
PL,PL418_430612109,60924560
BG,BG422_77195,60902369
FR,FR232_76351,60877020
PL,PL432_408140401,60789804
RO,RO214_120860,60636038
PL,PL431_408130101,60535901
PL,PL344_320381401,60490423
IT,ITI16_049009,60464956
GR,EL531_14020101,60266868
DE,DEE01_15001000,59983522
SK,SK042_598682,59929496
PL,PL345_320390101,59879254
PL,PL314_306110901,59867294
IT,ITF35_065137,59863917
DE,DE806_13006000,59760934
CZ,CZ032_555771,59629550
PL,PL216_212231301,59584582
LT,LT002_1910,59441491
ES,ES120_33066,59429316
PT,PT163_100914,59248190
HU,HU3353,59240362
DE,DEG0C_16067029,59234522
PL,PL214_212200616,59185767
PT,PT162_060317,59062489
PT,PT184_020101,58929436
RO,RO322_179221,58859694
ES,ES300_28007,58685108
HU,HU0280,58546658
HU,HU3434,58518676
CZ,CZ080_510882,58382245
PT,PT16C_141811,58284353
GR,EL301_46110201,58140627
CZ,CZ031_549240,58045741
NL,NL310_0344,58028471
DE,DE254_09564000,57993126
PL,PL12A_114303207,57955427
GR,EL541_19010101,57806575
SI,SI022_146,57755719
LT,LT002_1907,57751948
ES,ES618_41024,57721887
PL,PL325_318351607,57668695
GR,EL522_07090101,57657591
GR,EL652_42010101,57642800
GR,EL531_15010101,57634591
PL,PL325_318351604,57557875
ES,ES111_15005,57548274
SK,SK010_529354,57536142
ES,ES511_08121,57483564
CZ,CZ051_561380,57416203
SK,SK042_599816,57361430
IT,ITG12_082027,57339325
IT,ITH20_022205,57306749
GR,EL513_01030201,57255729
BE,BE100_21014,57240163
IT,ITF35_065014,57229513
FR,FR301_59512,57110005
DE,DED45_14524080,57098502
SK,SK023_502031,57065214
CZ,CZ020_539325,57036897
ES,ES111_15054,56937126
PL,PL518_502042006,56923690
SK,SK042_526355,56866414
CZ,CZ080_598062,56779115
IT,ITH10_021008,56691856
PL,PL116_110181409,56618666
LV,LV009_0400200,56595218
ES,ES618_41059,56526726
FR,FR301_59009,56522682
IT,ITF33_063057,56449022
LV,LV008_0700200,56408270
PT,PT114_130408,56368228
ES,ES617_29082,56299281
IT,ITG11_081011,56280242
PL,PL331_326521101,56249681
GR,EL413_57010101,56241538
HU,HU0934,56202768
PL,PL622_628561409,56115288
UK,UKM62_S31001072,56111147
BG,BG341_63183,56103528
BG,BG312_48489,56074220
PL,PL635_622421303,56073797
PT,PT114_131628,56070961
PL,PL217_212240202,55985301
IT,ITF47_072036,55945473
FR,FR930_97309,55924952
HU,HU1830,55864081
PT,PT114_130809,55740570
FR,FR940_97413,55647772
ES,ES511_08245,55561435
CZ,CZ063_591181,55377138
PL,PL418_430612112,55340794
FR,FR930_97311,55332821
PL,PL325_318351608,55324439
GR,EL543_18010103,55291590
IT,ITF33_063017,55280944
PL,PL418_430612108,55195454
BG,BG423_55155,55190228
SK,SK023_503011,55188361
EE,EE006_0663,55171090
CZ,CZ031_553069,55164780
IT,ITG15_085007,55147281
PL,PL621_628540301,55022838
FR,FR522_29019,54883855
GR,EL522_07060202,54877691
ES,ES620_30027,54827988
PL,PL518_502041401,54779344
HU,HU2052,54694619
GR,EL301_46110101,54653451
PL,PL343_320370206,54630565
GR,EL305_49040000,54581594
GR,EL541_19040101,54561202
DE,DEF01_01001000,54476107
PL,PL425_432661104,54449716
DE,DEG07_16062041,54401628
PL,PL129_114291401,54397051
HU,HU0644,54334330
