NUTS_3_2013_CODE;NUTS_3_2010_CODE;LAU1_NAT_CODE;LAU2_NAT_CODE;CHANGE;NAME_1;NAME_2_LAT;POP;AREA;DEGURBA;;
DE118;DE118;081255009;08125111;no;Hardthausen am Kocher;Hardthausen am Kocher;3901;35549500;3;;
DE118;DE118;081255009;08125113;no;Langenbrettach;Langenbrettach;3694;23969900;3;;
DE118;DE118;081255010;08125038;no;Güglingen, Stadt;Güglingen, Stadt;5982;16265800;2;;
DE118;DE118;081255010;08125081;no;Pfaffenhofen;Pfaffenhofen;2275;12041900;2;;
DE118;DE118;081255010;08125108;no;Zaberfeld;Zaberfeld;3905;22181500;3;;
DE118;DE118;081255011;08125059;no;Löwenstein, Stadt;Löwenstein, Stadt;3139;23460200;3;;
DE118;DE118;081255011;08125110;no;Obersulm;Obersulm;13382;31066400;2;;
DE118;DE118;081255012;08125001;no;Abstatt;Abstatt;4550;9662300;2;;
DE118;DE118;081255012;08125008;no;Beilstein, Stadt;Beilstein, Stadt;6044;25252800;2;;
DE118;DE118;081255012;08125046;no;Ilsfeld;Ilsfeld;8726;26514500;3;;
DE118;DE118;081255012;08125098;no;Untergruppenbach;Untergruppenbach;7909;27269800;2;;
DE118;DE118;081255013;08125061;no;Massenbachhausen;Massenbachhausen;3388;8779000;2;;
DE118;DE118;081255013;08125086;no;Schwaigern, Stadt;Schwaigern, Stadt;10856;49476500;2;;
DE118;DE118;081255014;08125021;no;Eberstadt;Eberstadt;3120;12503500;3;;
DE118;DE118;081255014;08125024;no;Ellhofen;Ellhofen;3338;5863000;2;;
DE118;DE118;081255014;08125057;no;Lehrensteinsfeld;Lehrensteinsfeld;2216;6223600;2;;
DE118;DE118;081255014;08125102;no;Weinsberg, Stadt;Weinsberg, Stadt;11349;22221000;2;;
DE118;DE118;n.a.;08125007;no;Bad Wimpfen, Stadt;Bad Wimpfen, Stadt;6784;19376800;2;;
DE118;DE118;n.a.;08125039;no;Gundelsheim, Stadt;Gundelsheim, Stadt;7129;38442200;2;;
DE118;DE118;n.a.;08125058;no;Leingarten;Leingarten;10897;23475700;2;;
DE118;DE118;n.a.;08125068;no;Neudenau, Stadt;Neudenau, Stadt;5046;32923900;3;;
DE118;DE118;n.a.;08125107;no;Wüstenrot;Wüstenrot;6522;30023200;3;;
DE119;DE119;081265001;08126047;no;Kupferzell;Kupferzell;5738;54285200;3;;
DE119;DE119;081265001;08126058;no;Neuenstein, Stadt;Neuenstein, Stadt;6228;47840200;2;;
DE119;DE119;081265001;08126085;no;Waldenburg, Stadt;Waldenburg, Stadt;2912;31552900;3;;
DE119;DE119;081265002;08126020;no;Dörzbach;Dörzbach;2410;32355300;3;;
DE119;DE119;081265002;08126045;no;Krautheim, Stadt;Krautheim, Stadt;4540;52915400;3;;
DE119;DE119;081265002;08126056;no;Mulfingen;Mulfingen;3713;80080500;3;;
DE119;DE119;081265003;08126039;no;Ingelfingen, Stadt;Ingelfingen, Stadt;5594;46481400;2;;
DE119;DE119;081265003;08126046;no;Künzelsau, Stadt;Künzelsau, Stadt;14709;75166300;2;;
DE119;DE119;081265004;08126028;no;Forchtenberg, Stadt;Forchtenberg, Stadt;4916;38077000;3;;
DE119;DE119;081265004;08126060;no;Niedernhall, Stadt;Niedernhall, Stadt;3889;17713100;2;;
DE119;DE119;081265004;08126086;no;Weißbach;Weißbach;2030;12767500;2;;
DE119;DE119;081265005;08126066;no;Öhringen, Stadt;Öhringen, Stadt;22471;67778900;2;;
DE119;DE119;081265005;08126069;no;Pfedelbach;Pfedelbach;8975;41297000;2;;
DE119;DE119;081265005;08126094;no;Zweiflingen;Zweiflingen;1647;32097300;3;;
DE119;DE119;n.a.;08126011;no;Bretzfeld;Bretzfeld;12103;64695900;2;;
DE119;DE119;n.a.;08126072;no;Schöntal;Schöntal;5623;81653100;3;;
DE11A;DE11A;081275001;08127009;no;Braunsbach;Braunsbach;2447;52845900;3;;
DE11A;DE11A;081275001;08127086;no;Untermünkheim;Untermünkheim;2946;27144200;3;;
DE11A;DE11A;081275002;08127014;no;Crailsheim, Stadt;Crailsheim, Stadt;32417;109077400;2;;
DE11A;DE11A;081275002;08127073;no;Satteldorf;Satteldorf;5227;46208700;3;;
DE11A;DE11A;081275002;08127103;no;Frankenhardt;Frankenhardt;4742;69867900;3;;
DE11A;DE11A;081275002;08127104;no;Stimpfach;Stimpfach;2895;33351900;3;;
DE11A;DE11A;081275003;08127101;no;Kreßberg;Kreßberg;3837;48452700;3;;
DE11A;DE11A;081275003;08127102;no;Fichtenau;Fichtenau;4476;31283500;3;;
DE11A;DE11A;081275004;08127032;no;Gerabronn, Stadt;Gerabronn, Stadt;4207;40384900;3;;
DE11A;DE11A;081275004;08127047;no;Langenburg, Stadt;Langenburg, Stadt;1706;31402900;3;;
DE11A;DE11A;081275005;08127043;no;Ilshofen, Stadt;Ilshofen, Stadt;6270;54873300;3;;
DE11A;DE11A;081275005;08127089;no;Vellberg, Stadt;Vellberg, Stadt;4258;31884500;3;;
DE11A;DE11A;081275005;08127099;no;Wolpertshausen;Wolpertshausen;2071;27417900;3;;
DE11A;DE11A;081275006;08127023;no;Fichtenberg;Fichtenberg;2820;24188700;3;;
DE11A;DE11A;081275006;08127025;no;Gaildorf, Stadt;Gaildorf, Stadt;11974;62566000;2;;
DE11A;DE11A;081275006;08127062;no;Oberrot;Oberrot;3609;37922500;3;;
DE11A;DE11A;081275006;08127079;no;Sulzbach-Laufen;Sulzbach-Laufen;2536;43952000;3;;
DE11A;DE11A;081275007;08127012;no;Bühlertann;Bühlertann;3026;23589500;3;;
DE11A;DE11A;081275007;08127013;no;Bühlerzell;Bühlerzell;2023;49312400;3;;
DE11A;DE11A;081275007;08127063;no;Obersontheim;Obersontheim;4693;54834200;3;;
DE11A;DE11A;081275008;08127046;no;Kirchberg an der Jagst, Stadt;Kirchberg an der Jagst, Stadt;4119;40929500;3;;
DE11A;DE11A;081275008;08127071;no;Rot am See;Rot am See;5216;74812500;3;;
DE11A;DE11A;081275008;08127091;no;Wallhausen;Wallhausen;3546;25470800;3;;
